a,b,c
0.359156872,0.695570304,0.061288711
1.601879731,1.146978864,0.277300956
1.542135998,1.234213861,0.139572626
0.87270548,0.755052024,0.001840977
1.107388773,-0.210194804,0.342304986
1.638369808,1.902876215,0.047551635
1.216787921,-0.815734117,0.289732158
0.764678816,1.692336363,0.015552014
0.809967424,-0.423184858,0.008099822
1.011113505,0.333662328,0.001512493
0.7133902,2.582399223,0.000839727
0.407338946,-2.269030182,0.048258955
1.210279426,-0.576773624,0.305760877
1.898063862,-0.642662305,0.279003282
1.80105518,0.205130743,0.210073336
1.587268106,0.579235798,0.076086055
1.018672118,-2.199341571,0.149738804
0.368962267,2.466234497,0.008705399
2.230808151,1.776571464,0.329265131
1.687681297,0.224270644,0.260297472
0.613761093,1.682228025,0.216521691
1.40669588,0.263712202,0.088174481
1.125187188,0.064765393,0.119054953
1.346435179,2.169761041,0.009421447
0.809925328,1.211603655,0.023267077
1.512410144,-0.433599332,0.465833622
2.094705145,1.116322101,0.030303802
0.908435027,-1.927319508,0.01892835
0.690289252,0.260406745,0.003207989
0.800440711,2.068415165,0.321171451
1.453848103,-0.007358609,0.293019153
1.231303377,0.231059982,0.008390911
1.073904251,-0.589739125,0.00822954
1.066615647,2.475507711,0.005548092
2.616222269,0.11416576,0.063176239
1.648402737,2.426591457,0.125454984
1.832012762,0.398221726,0.14877496
0.889663678,0.01992878,0.007794838
0.736447535,0.097284166,0.444721845
1.549898226,1.179423667,0.000910596
1.004527889,1.019242601,0.001285516
1.025278898,1.930310927,0.023176736
0.986568272,0.959427682,0.025936974
0.824017096,2.043237747,0.096723314
1.710188839,0.103805911,0.249061469
2.391073674,-1.672888646,0.193458711
1.716961644,-1.23838457,0.063517998
1.796067264,-1.344628391,0.002037372
1.684221446,-1.207834068,0.001993978
1.522952694,1.17646536,0.013607414
1.335990668,1.56655694,0.31286706
1.460697792,0.780745151,0.3964799
1.200791479,-1.942421457,0.006622517
0.61736914,-1.594629689,0.018598123
0.270460663,-1.522291906,0.134651164
1.667804222,1.804450736,0.405212641
0.956345378,1.518438812,0.039711186
1.027766354,-1.130694252,0.004994537
1.405082342,1.195341044,0.487449994
2.111871607,1.894054537,0.238101091
1.199235724,0.505320966,0.108274662
0.5546257,-0.592489228,0.012990451
1.097278368,1.301528699,0.000436814
0.927203644,-1.400504255,0.009456681
1.784230483,2.24186283,0.083656172
0.768998101,-1.732572848,0.007202229
0.390899501,2.61738648,0.082681253
0.552292987,0.316690244,0.004293879
0.926446329,-1.562813743,0.007334905
0.764438636,0.772879215,0.004308614
0.947926311,-2.237740936,0.015904568
0.819326206,-1.915027804,0.023837439
1.476692074,-1.405140794,0.031650077
1.294464252,0.72243301,0.177631856
0.44898084,2.196115288,0.063133145
1.141646001,1.016995414,0.189869208
1.582001909,1.304560132,0.057267929
0.792466461,-0.703532276,0.157116274
1.034143262,0.519518198,0.001228303
1.129231642,-0.165365679,0.081833961
1.958910207,1.055211098,0.083060457
1.528491064,-0.458693385,0.450462102
0.671535878,1.733020883,0.170389331
1.664726645,2.402796887,0.297300744
1.381443086,0.950289116,0.000891158
1.518086828,0.699218569,0.229324923
1.374455765,0.110108289,0.011071797
1.493943475,0.927891503,0.101585741
1.024337746,1.417742167,0.254237294
1.452415485,0.809214241,0.161820744
1.535787421,-0.221673928,0.022146534
0.913748215,0.202747299,0.11737486
1.105870914,0.03686376,0.074739823
1.625623173,0.739309821,0.224107579
1.093099479,2.708083481,0.408939739
0.893987712,0.090430519,0.016519425
0.759795553,2.356074315,0.004016951
0.381062899,0.539622922,0.014554274
0.799834478,0.228316396,0.002516369
0.578560613,0.110381153,0.003618582
0.626462161,-1.093952581,0.03088465
1.352257749,1.133689894,0.394338656
1.718224629,0.827523545,0.239026253
0.66670337,-0.71824779,0.091882718
0.755302904,0.734005362,0.260369616
1.428454851,1.376540112,0.001655568
2.013439119,1.035504535,0.043623471
1.134831947,1.741996413,0.00050306
1.136017892,2.226976404,0.225741082
1.081623413,-1.021932252,0.002160963
0.797806002,-1.571021675,0.007219851
0.782037789,-0.044818489,0.119192025
0.724267377,0.970627937,0.157860456
1.250002192,-2.065242229,0.187215662
0.720529566,0.137009551,0.067914765
0.834167747,0.963682147,0.002956198
0.964196556,-1.232530724,0.039191862
1.295205418,-1.475198391,0.010072225
0.259436613,-2.298953071,0.036768348
0.78533949,0.662347476,0.002687397
2.123295886,1.084179625,0.214813403
1.738515225,0.843692096,0.046462814
0.988315309,0.19109629,0.003118099
0.856188811,0.719819397,0.283994226
0.71952755,0.093399316,0.120455195
0.927789198,-1.606701494,0.131700916
2.174641451,1.839383683,0.364386894
2.183757792,0.857307999,0.461313353
2.025763736,1.974563928,0.211739831
1.843487029,2.169801,0.400790957
1.61934563,1.6891479,0.264878112
0.929116687,-2.538916937,0.012743606
1.848281765,-2.164172192,0.025309198
1.065741328,0.487521855,0.184781625
1.225464018,2.045429802,0.066401809
1.369590762,2.920580446,0.265235544
1.550569368,1.282129906,0.059788704
0.554017341,2.273206534,0.054039804
0.703464286,0.355888468,0.184085188
1.395549157,-2.067977131,0.069544484
1.64197534,-1.380444589,0.375512249
0.596142924,0.584465796,0.338208747
0.683615468,-0.441686865,0.406753945
2.008740048,1.99129798,0.061239198
0.572137348,2.012244589,0.005204537
0.998264506,-0.54152718,0.00255833
1.047777949,1.696577746,0.000580642
0.803681579,0.689165078,0.00271685
1.242124922,0.804342792,0.000603156
1.030840182,-1.259588185,0.384221607
0.654522108,0.599548992,0.00185004
1.145919574,1.641167852,0.445535584
1.642052799,1.543966831,0.089224163
0.966950344,-1.027832032,0.131745143
1.137155159,-0.69921736,0.432335939
0.885289051,-0.371854679,0.156516941
0.719380622,-0.154778965,0.130379767
0.941449472,0.408523142,0.29685217
1.053978027,1.030188834,0.001922138
0.96096275,-1.099001591,0.338901907
2.280214927,1.28639299,0.342705224
1.436186811,0.112816005,0.329044822
1.29658152,0.904783223,0.146928129
1.466938954,0.909163697,0.35150274
0.653300276,-2.120893582,0.023129465
0.525204121,-1.465835391,0.0638361
1.28349316,0.317686397,0.059658096
1.38943356,0.82906912,0.00037993
1.140076578,1.683290295,0.000204237
0.806271891,-0.570887527,0.201725187
1.151877852,-0.881607185,0.13352424
1.104785113,0.112769744,0.160726293
0.585435552,-0.929225955,0.026792886
1.602984372,2.283049488,0.020335849
1.031091038,0.304404417,0.497763749
0.4627192,2.129493697,0.003717994
1.925618567,1.000724885,0.314895182
1.465573638,1.366444713,0.439873219
1.269052899,0.145462943,0.248564856
1.370933324,0.838864271,0.059762141
1.553134492,1.84882324,0.011463911
0.293220572,-0.667997209,0.020093401
1.332928582,0.701538194,0.196461876
0.703530818,0.520768791,0.308257751
0.947123603,0.026447501,0.028950416
1.58310434,0.337528449,0.267145023
2.028112935,1.772969759,0.23177434
0.668603967,-2.163207436,0.406770091
1.197031201,-2.26593403,0.023804245
0.931760948,-0.635733533,0.009118202
0.850180075,0.784791524,0.028828884
1.031574143,0.764828573,0.078554431
1.366458762,2.927274582,0.000106572
0.601169822,2.100214296,0.372615959
1.296250957,0.864705261,0.289413658
1.995027917,1.015039135,0.279511186
1.302571168,-0.330159342,0.014712017
1.584804786,-0.656077142,0.455212547
1.905945812,-0.249842574,0.296212396
1.674300997,-0.107479248,0.006384126
1.163578433,1.875686538,0.299170699
1.834840513,2.180025987,0.364035358
0.880792398,0.396653494,0.002961271
1.779574113,1.329037152,0.11859546
1.985608078,-0.369878699,0.483389399
0.889930358,0.941875297,0.44613659
1.087714453,0.870859433,0.000628343
0.830419246,2.446522781,0.017526919
0.951719845,-0.597203054,0.248736626
0.709060878,0.079210026,0.465466906
2.079149365,-1.867206283,0.301793999
1.32452043,-0.074724603,0.229187605
1.457188307,-0.737375484,0.292144102
1.413488962,-1.853441597,0.007442302
1.379907309,-1.299859886,0.02319702
1.704971231,-0.675004237,0.159618362
0.886781954,-1.125258038,0.034002879
2.162805483,1.643162301,0.027522709
1.47477055,0.503798842,0.006546976
2.044993431,-0.001658637,0.341258873
1.390882005,0.672855277,0.359852853
1.056661286,0.963283501,0.394925238
1.167378587,1.619392513,0.229650423
2.117374387,1.167735882,0.373014103
1.653669814,-0.522629343,0.316284548
1.810792899,-0.520169777,0.322221747
1.974943401,-0.654258286,0.40281017
2.210677512,-0.010516205,0.439326374
1.006667883,0.936156738,0.205411165
0.852037801,-0.853696702,0.194964495
0.830783753,-0.514991067,0.008450412
1.36647076,0.976972838,0.301271057
0.608379327,-0.433951685,0.014057335
1.546967445,0.976357512,0.128626113
2.845828829,1.136934117,0.303673324
0.87180349,-0.289487889,0.013703513
0.90506943,-1.099567189,0.002870217
1.182803647,0.258919878,0.213382128
0.370329573,-1.394112817,0.013908021
0.982833926,-0.649255484,0.00513297
1.094139087,1.298606928,0.442322504
1.030261993,2.586207285,0.193976598
0.671047748,2.094976482,0.015670546
