Item_ID;UNIT;repeated;New_Cycle;Block;Block_Seq;Grade;Subject;Cycle;Secured_Status;Scaling_Status;Content_Domain;Topic_Area;Topic;Biology_Applying;Biology_Knowing;Biology_Reasoning;Chemistry_Applying;Chemistry_Knowing;Chemistry_Reasoning;Earth_Applying;Earth_Knowing;Earth_Reasoning;Physics_Applying;Physics_Knowing;Physics_Reasoning;Topic;Performance_Objective;Cognitive_Domain;Item_Type;Options;Key;Maximum_Points;Label;derived;a;b;c
S042003;;0;0;S07;03;8;S;4;Restricted_Use;Yes;Biology;Characteristics_and_Life_Processes_of_Organisms;;1;0;0;0;0;0;0;0;0;0;0;0;2;C;Applying;MC;4;B;1;O2-CO2_exchange_in_an_animal_skin;0;0.359156872;0.695570304;0.061288711
S042015;;0;0;S05;03;8;S;4;Restricted_Use;Yes;Biology;Cells_and_Their_Functions;;0;1;0;0;0;0;0;0;0;0;0;0;1;C;Knowing;MC;4;D;1;Function_of_the_cell_membrane;0;1.601879731;1.146978864;0.277300956
S042016;;0;0;S01;03;8;S;4;Restricted_Use;Yes;Biology;Cells_and_Their_Functions;;0;1;0;0;0;0;0;0;0;0;0;0;1;C;Knowing;MC;4;A;1;Organelle_that_produces_energy;0;1.542135998;1.234213861;0.139572626
S042030;;0;0;S07;02;8;S;4;Restricted_Use;Yes;Biology;Life_Cycles_Reproduction_and_Heredity;;1;0;0;0;0;0;0;0;0;0;0;0;1;A;Applying;CR;;;1;What_kind_of_reproduction;0;0.87270548;0.755052024;0.001840977
S042049B;S042049;0;0;S05;05B;8;S;4;Restricted_Use;Yes;Biology;Ecosystems;;0;0;1;0;0;0;0;0;0;0;0;0;4;B;Reasoning;CR;;;1;Number_of_lynxes_in_1996_vs_2004;0;1.107388773;-0.210194804;0.342304986
S042064;;0;;S07;11;8;S;4;Restricted_Use;Yes;Chemistry;Properties_of_Matter;;0;0;0;1;0;0;0;0;0;0;0;0;2;A;Applying;CR;;;1;Why_oil_floats_on_top_of_water;0;1.638369808;1.902876215;0.047551635
S042065;;0;0;S07;06;8;S;4;Restricted_Use;Yes;Chemistry;Properties_of_Matter;;0;0;0;0;1;0;0;0;0;0;0;0;2;A;Knowing;MC;4;C;1;Good_conductor_of_heat-electricity;0;1.216787921;-0.815734117;0.289732158
S042068;;0;0;S01;06;8;S;4;Restricted_Use;Yes;Chemistry;Composition_of_Matter;;0;0;0;0;1;0;0;0;0;0;0;0;1;B;Knowing;MC;4;A;1;Which_one_is_a_mixture;0;0.764678816;1.692336363;0.015552014
S042088;;0;0;S07;08;8;S;4;Restricted_Use;Yes;Chemistry;Properties_of_Matter;;0;0;0;1;0;0;0;0;0;0;0;0;3;C;Applying;CR;;;1;Which_solution_is_more_dilute;0;0.809967424;-0.423184858;0.008099822
S042094;;0;0;S01;09;8;S;4;Restricted_Use;Yes;Physics;Physical_States_and_Changes_in_Matter;;0;0;0;0;0;0;0;0;0;1;0;0;1;B;Applying;CR;;;1;Why_plastic_bottle_cracked;0;1.011113505;0.333662328;0.001512493
S042104;;0;0;S07;10;8;S;4;Restricted_Use;Yes;Chemistry;Chemical_Change;;0;0;0;0;0;1;0;0;0;0;0;0;2;A;Reasoning;CR;;;1;Balance_after_HCL-NaOH_are_mixed;0;0.7133902;2.582399223;0.000839727
S042110;;0;0;S07;04;8;S;4;Restricted_Use;Yes;Chemistry;Chemical_Change;;0;0;0;1;0;0;0;0;0;0;0;0;1;C;Applying;MC;4;D;1;Which_nails_rusted_most;0;0.407338946;-2.269030182;0.048258955
