Item ID;UNIT;repeated;New_Cycle;Block;Block Seq;Grade;Subject;Cycle;"Secured
Status";"Scaling
Status";Content Domain;Topic Area;;Biology_Applying;Biology_Knowing;Biology_Reasoning;Chemistry_Applying;Chemistry_Knowing;Chemistry_Reasoning;Earth_Applying;Earth_Knowing;Earth_Reasoning;Physics_Applying;Physics_Knowing;Physics_Reasoning;Topic;Performance Objective;Cognitive Domain;Item_Type;Options;Key;Maximum Points;Label;derived;a;b;c
S042003;;0;0;S07;03;8;S;4;Restricted Use;Yes;Biology;Characteristics and Life Processes of Organisms;;1;0;0;0;0;0;0;0;0;0;0;0;2;C;Applying;MC;4;B;1;O2-CO2 exchange in an animal skin;0;0.359156872;-0.249818854;0.061288711
S042015;;0;0;S05;03;8;S;4;Restricted Use;Yes;Biology;Cells and Their Functions;;0;1;0;0;0;0;0;0;0;0;0;0;1;C;Knowing;MC;4;D;1;Function of the cell membrane;0;1.601879731;-1.837322193;0.277300956
S042016;;0;0;S01;03;8;S;4;Restricted Use;Yes;Biology;Cells and Their Functions;;0;1;0;0;0;0;0;0;0;0;0;0;1;C;Knowing;MC;4;A;1;Organelle that produces energy;0;1.542135998;-1.903325624;0.139572626
S042030;;0;0;S07;02;8;S;4;Restricted Use;Yes;Biology;Life Cycles, Reproduction, and Heredity;;1;0;0;0;0;0;0;0;0;0;0;0;1;A;Applying;CR;-;-;1;What kind of reproduction;0;0.87270548;-0.658938039;0.001840977
S042049A;S042049;0;0;S05;05A;8;S;4;Restricted Use;Yes;Biology;Ecosystems;;1;0;0;0;0;0;0;0;0;0;0;0;3;B;Applying;CR;-;-;1;Population of rabbits and lynxes;0;0.533633677;1.685268354;0.048856648
S042049B;S042049;0;0;S05;05B;8;S;4;Restricted Use;Yes;Biology;Ecosystems;;0;0;1;0;0;0;0;0;0;0;0;0;4;B;Reasoning;CR;-;-;1;Number of lynxes in 1996 vs 2004;0;1.107388773;0.232767367;0.342304986
S042065;;0;0;S07;06;8;S;4;Restricted Use;Yes;Chemistry;Properties of Matter;;0;0;0;0;1;0;0;0;0;0;0;0;2;A;Knowing;MC;4;C;1;Good conductor of heat-electricity;0;1.216787921;0.992575421;0.289732158
S042068;;0;0;S01;06;8;S;4;Restricted Use;Yes;Chemistry;Composition of Matter;;0;0;0;0;1;0;0;0;0;0;0;0;1;B;Knowing;MC;4;A;1;Which one is a mixture;0;0.764678816;-1.294093766;0.015552014
S042088;;0;0;S07;08;8;S;4;Restricted Use;Yes;Chemistry;Properties of Matter;;0;0;0;1;0;0;0;0;0;0;0;0;3;C;Applying;CR;-;-;1;Which solution is more dilute;0;0.809967424;0.34276595;0.008099822
S042094;;0;0;S01;09;8;S;4;Restricted Use;Yes;Physics;Physical States and Changes in Matter;;0;0;0;0;0;0;0;0;0;1;0;0;1;B;Applying;CR;-;-;1;Why plastic bottle cracked;0;1.011113505;-0.337370486;0.001512493
S042104;;0;0;S07;10;8;S;4;Restricted Use;Yes;Chemistry;Chemical Change;;0;0;0;0;0;1;0;0;0;0;0;0;2;A;Reasoning;CR;-;-;1;Balance after HCL-NaOH are mixed;0;0.7133902;-1.842258299;0.000839727
S042110;;0;0;S07;04;8;S;4;Restricted Use;Yes;Chemistry;Chemical Change;;0;0;0;1;0;0;0;0;0;0;0;0;1;C;Applying;MC;4;D;1;Which nails rusted most;0;0.407338946;0.924264363;0.048258955
S042126;;0;0;S05;09;8;S;4;Restricted Use;Yes;Earth Science;Earth's Processes, Cycles, and History;;0;0;0;0;0;0;0;1;0;0;0;0;3;D;Knowing;MC;4;A;1;Gas increasing in atmosphere;0;1.210279426;0.698057251;0.305760877
S042135;;0;0;S05;13;8;S;4;Restricted Use;Yes;Earth Science;Earth's Processes, Cycles, and History;;0;0;0;0;0;0;0;1;0;0;0;0;2;A;Knowing;CR;-;-;1;Water cycle processes;0;1.898063862;1.219814097;0.279003282
S042164;;0;0;S01;14;8;S;4;Restricted Use;Yes;Earth Science;Earth in the Solar System and the Universe;;0;0;0;0;0;0;0;1;0;0;0;0;1;C;Knowing;MC;4;B;1;Result gravitational pull of moon;0;1.80105518;-0.369451787;0.210073336
